ds,y
2004-01,2
2004-02,2
2004-03,1
2004-04,1
2004-05,1
2004-06,2
2004-07,2
2004-08,5
2004-09,19
2004-10,94
2004-11,9
2004-12,2
2005-01,1
2005-02,1
2005-03,1
2005-04,1
2005-05,1
2005-06,1
2005-07,2
2005-08,5
2005-09,18
2005-10,100
2005-11,9
2005-12,2
2006-01,1
2006-02,1
2006-03,1
2006-04,1
2006-05,1
2006-06,1
2006-07,2
2006-08,5
2006-09,20
2006-10,95
2006-11,9
2006-12,2
2007-01,1
2007-02,1
2007-03,1
2007-04,2
2007-05,1
2007-06,2
2007-07,2
2007-08,7
2007-09,21
2007-10,84
2007-11,9
2007-12,2
2008-01,2
2008-02,1
2008-03,1
2008-04,1
2008-05,1
2008-06,2
2008-07,2
2008-08,5
2008-09,20
2008-10,82
2008-11,9
2008-12,2
2009-01,2
2009-02,2
2009-03,1
2009-04,2
2009-05,2
2009-06,2
2009-07,3
2009-08,7
2009-09,19
2009-10,80
2009-11,9
2009-12,3
2010-01,2
2010-02,2
2010-03,1
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,5
2010-09,17
2010-10,77
2010-11,10
2010-12,3
2011-01,3
2011-02,2
2011-03,1
2011-04,1
2011-05,1
2011-06,2
2011-07,2
2011-08,5
2011-09,16
2011-10,77
2011-11,11
2011-12,4
2012-01,3
2012-02,2
2012-03,1
2012-04,2
2012-05,1
2012-06,2
2012-07,2
2012-08,5
2012-09,17
2012-10,76
2012-11,11
2012-12,3
2013-01,2
2013-02,2
2013-03,2
2013-04,1
2013-05,1
2013-06,2
2013-07,2
2013-08,5
2013-09,16
2013-10,79
2013-11,13
2013-12,2
2014-01,2
2014-02,2
2014-03,2
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,5
2014-09,16
2014-10,83
2014-11,12
2014-12,2
2015-01,2
2015-02,2
2015-03,1
2015-04,2
2015-05,2
2015-06,2
2015-07,3
2015-08,5
2015-09,18
2015-10,94
2015-11,13
2015-12,3
2016-01,2
2016-02,2
2016-03,2
2016-04,2
2016-05,2
2016-06,2
2016-07,3
2016-08,5
2016-09,17
2016-10,87
2016-11,11
2016-12,2
2017-01,2
2017-02,2
2017-03,2
2017-04,2
2017-05,2
2017-06,2
2017-07,3
2017-08,5
2017-09,17
2017-10,84
2017-11,10
2017-12,2
2018-01,2
2018-02,2
2018-03,2
2018-04,2
2018-05,2
2018-06,3
2018-07,3
2018-08,6
2018-09,19
2018-10,88
2018-11,14
2018-12,3
2019-01,3
2019-02,2
2019-03,2
2019-04,2
2019-05,2
2019-06,2
2019-07,3
2019-08,6
2019-09,14
