ds,y
2004-01,4
2004-02,3
2004-03,2
2004-04,2
2004-05,2
2004-06,2
2004-07,2
2004-08,2
2004-09,3
2004-10,5
2004-11,24
2004-12,90
2005-01,5
2005-02,2
2005-03,2
2005-04,2
2005-05,2
2005-06,2
2005-07,2
2005-08,2
2005-09,3
2005-10,5
2005-11,25
2005-12,90
2006-01,10
2006-02,6
2006-03,5
2006-04,4
2006-05,4
2006-06,4
2006-07,3
2006-08,3
2006-09,5
2006-10,7
2006-11,23
2006-12,86
2007-01,7
2007-02,3
2007-03,3
2007-04,2
2007-05,3
2007-06,3
2007-07,3
2007-08,3
2007-09,3
2007-10,6
2007-11,23
2007-12,83
2008-01,6
2008-02,3
2008-03,3
2008-04,2
2008-05,3
2008-06,2
2008-07,2
2008-08,2
2008-09,3
2008-10,6
2008-11,23
2008-12,83
2009-01,7
2009-02,3
2009-03,3
2009-04,3
2009-05,2
2009-06,2
2009-07,2
2009-08,2
2009-09,3
2009-10,6
2009-11,23
2009-12,94
2010-01,8
2010-02,4
2010-03,3
2010-04,3
2010-05,3
2010-06,2
2010-07,2
2010-08,2
2010-09,3
2010-10,6
2010-11,24
2010-12,94
2011-01,9
2011-02,5
2011-03,4
2011-04,3
2011-05,2
2011-06,2
2011-07,2
2011-08,2
2011-09,3
2011-10,6
2011-11,24
2011-12,100
2012-01,12
2012-02,8
2012-03,7
2012-04,3
2012-05,3
2012-06,2
2012-07,3
2012-08,3
2012-09,3
2012-10,6
2012-11,23
2012-12,91
2013-01,9
2013-02,6
2013-03,4
2013-04,3
2013-05,3
2013-06,2
2013-07,2
2013-08,2
2013-09,3
2013-10,6
2013-11,25
2013-12,95
2014-01,9
2014-02,5
2014-03,4
2014-04,3
2014-05,2
2014-06,2
2014-07,2
2014-08,3
2014-09,3
2014-10,6
2014-11,23
2014-12,94
2015-01,10
2015-02,5
2015-03,4
2015-04,3
2015-05,3
2015-06,3
2015-07,3
2015-08,3
2015-09,3
2015-10,6
2015-11,24
2015-12,97
2016-01,11
2016-02,5
2016-03,4
2016-04,3
2016-05,3
2016-06,3
2016-07,3
2016-08,2
2016-09,3
2016-10,6
2016-11,25
2016-12,91
2017-01,10
2017-02,4
2017-03,3
2017-04,3
2017-05,3
2017-06,3
2017-07,3
2017-08,3
2017-09,3
2017-10,6
2017-11,25
2017-12,94
2018-01,10
2018-02,4
2018-03,4
2018-04,3
2018-05,3
2018-06,3
2018-07,3
2018-08,3
2018-09,4
2018-10,6
2018-11,24
2018-12,90
2019-01,10
2019-02,5
2019-03,4
2019-04,4
2019-05,3
2019-06,3
2019-07,3
2019-08,3
2019-09,3
