ds,y
2004-01,19
2004-02,79
2004-03,2
2004-04,2
2004-05,1
2004-06,1
2004-07,1
2004-08,1
2004-09,1
2004-10,1
2004-11,1
2004-12,2
2005-01,14
2005-02,90
2005-03,2
2005-04,1
2005-05,1
2005-06,2
2005-07,1
2005-08,2
2005-09,1
2005-10,1
2005-11,2
2005-12,2
2006-01,15
2006-02,86
2006-03,2
2006-04,1
2006-05,2
2006-06,1
2006-07,1
2006-08,2
2006-09,1
2006-10,1
2006-11,2
2006-12,2
2007-01,15
2007-02,92
2007-03,2
2007-04,1
2007-05,1
2007-06,1
2007-07,1
2007-08,2
2007-09,1
2007-10,1
2007-11,2
2007-12,2
2008-01,16
2008-02,85
2008-03,2
2008-04,2
2008-05,1
2008-06,1
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,2
2008-12,2
2009-01,17
2009-02,79
2009-03,2
2009-04,3
2009-05,17
2009-06,4
2009-07,3
2009-08,3
2009-09,3
2009-10,2
2009-11,2
2009-12,3
2010-01,17
2010-02,64
2010-03,3
2010-04,2
2010-05,2
2010-06,2
2010-07,2
2010-08,2
2010-09,2
2010-10,2
2010-11,2
2010-12,2
2011-01,15
2011-02,74
2011-03,3
2011-04,2
2011-05,3
2011-06,3
2011-07,2
2011-08,2
2011-09,2
2011-10,2
2011-11,2
2011-12,3
2012-01,13
2012-02,75
2012-03,3
2012-04,3
2012-05,2
2012-06,2
2012-07,2
2012-08,3
2012-09,2
2012-10,2
2012-11,2
2012-12,2
2013-01,13
2013-02,68
2013-03,3
2013-04,6
2013-05,9
2013-06,2
2013-07,2
2013-08,2
2013-09,2
2013-10,2
2013-11,2
2013-12,3
2014-01,18
2014-02,89
2014-03,3
2014-04,2
2014-05,2
2014-06,2
2014-07,2
2014-08,2
2014-09,2
2014-10,2
2014-11,3
2014-12,3
2015-01,21
2015-02,96
2015-03,3
2015-04,2
2015-05,2
2015-06,2
2015-07,2
2015-08,2
2015-09,2
2015-10,2
2015-11,3
2015-12,3
2016-01,23
2016-02,95
2016-03,3
2016-04,2
2016-05,2
2016-06,2
2016-07,2
2016-08,2
2016-09,3
2016-10,2
2016-11,2
2016-12,3
2017-01,17
2017-02,100
2017-03,3
2017-04,2
2017-05,2
2017-06,2
2017-07,2
2017-08,2
2017-09,2
2017-10,2
2017-11,2
2017-12,3
2018-01,17
2018-02,84
2018-03,2
2018-04,2
2018-05,2
2018-06,2
2018-07,2
2018-08,2
2018-09,2
2018-10,2
2018-11,2
2018-12,3
2019-01,16
2019-02,89
2019-03,3
2019-04,2
2019-05,2
2019-06,2
2019-07,2
2019-08,3
2019-09,2
