ds,y
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,2
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,0
2005-10,0
2005-11,7
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,1
2006-11,13
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,0
2007-08,0
2007-09,0
2007-10,1
2007-11,18
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,0
2008-05,0
2008-06,0
2008-07,0
2008-08,0
2008-09,0
2008-10,1
2008-11,25
2008-12,1
2009-01,0
2009-02,0
2009-03,0
2009-04,0
2009-05,0
2009-06,0
2009-07,0
2009-08,0
2009-09,0
2009-10,1
2009-11,31
2009-12,1
2010-01,0
2010-02,0
2010-03,0
2010-04,0
2010-05,0
2010-06,0
2010-07,0
2010-08,0
2010-09,0
2010-10,1
2010-11,33
2010-12,1
2011-01,1
2011-02,1
2011-03,4
2011-04,2
2011-05,1
2011-06,1
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,38
2011-12,2
2012-01,2
2012-02,1
2012-03,0
2012-04,0
2012-05,0
2012-06,0
2012-07,0
2012-08,0
2012-09,1
2012-10,2
2012-11,41
2012-12,1
2013-01,0
2013-02,0
2013-03,0
2013-04,0
2013-05,0
2013-06,0
2013-07,0
2013-08,0
2013-09,1
2013-10,2
2013-11,44
2013-12,3
2014-01,0
2014-02,0
2014-03,0
2014-04,0
2014-05,0
2014-06,0
2014-07,0
2014-08,0
2014-09,1
2014-10,2
2014-11,54
2014-12,2
2015-01,0
2015-02,0
2015-03,0
2015-04,0
2015-05,0
2015-06,0
2015-07,1
2015-08,1
2015-09,1
2015-10,3
2015-11,65
2015-12,2
2016-01,1
2016-02,0
2016-03,0
2016-04,0
2016-05,0
2016-06,0
2016-07,0
2016-08,0
2016-09,1
2016-10,3
2016-11,76
2016-12,1
2017-01,1
2017-02,0
2017-03,0
2017-04,0
2017-05,0
2017-06,1
2017-07,1
2017-08,1
2017-09,1
2017-10,4
2017-11,90
2017-12,2
2018-01,1
2018-02,1
2018-03,0
2018-04,1
2018-05,0
2018-06,0
2018-07,1
2018-08,1
2018-09,2
2018-10,6
2018-11,100
2018-12,2
2019-01,1
2019-02,1
2019-03,1
2019-04,1
2019-05,1
2019-06,1
2019-07,1
2019-08,1
2019-09,2
