ds,y
2004-01,15
2004-02,19
2004-03,24
2004-04,27
2004-05,32
2004-06,43
2004-07,47
2004-08,44
2004-09,19
2004-10,14
2004-11,13
2004-12,14
2005-01,17
2005-02,21
2005-03,25
2005-04,27
2005-05,39
2005-06,44
2005-07,47
2005-08,45
2005-09,17
2005-10,13
2005-11,13
2005-12,14
2006-01,18
2006-02,19
2006-03,24
2006-04,31
2006-05,36
2006-06,42
2006-07,51
2006-08,46
2006-09,19
2006-10,14
2006-11,13
2006-12,13
2007-01,17
2007-02,20
2007-03,24
2007-04,32
2007-05,35
2007-06,43
2007-07,49
2007-08,43
2007-09,19
2007-10,15
2007-11,15
2007-12,15
2008-01,17
2008-02,22
2008-03,24
2008-04,29
2008-05,35
2008-06,42
2008-07,50
2008-08,46
2008-09,19
2008-10,15
2008-11,14
2008-12,14
2009-01,17
2009-02,19
2009-03,24
2009-04,28
2009-05,39
2009-06,44
2009-07,56
2009-08,49
2009-09,20
2009-10,17
2009-11,15
2009-12,16
2010-01,19
2010-02,21
2010-03,26
2010-04,32
2010-05,37
2010-06,46
2010-07,57
2010-08,54
2010-09,22
2010-10,17
2010-11,16
2010-12,17
2011-01,21
2011-02,25
2011-03,29
2011-04,35
2011-05,42
2011-06,53
2011-07,62
2011-08,61
2011-09,27
2011-10,19
2011-11,18
2011-12,19
2012-01,22
2012-02,22
2012-03,29
2012-04,32
2012-05,37
2012-06,52
2012-07,63
2012-08,60
2012-09,25
2012-10,18
2012-11,17
2012-12,18
2013-01,20
2013-02,22
2013-03,27
2013-04,33
2013-05,36
2013-06,53
2013-07,62
2013-08,67
2013-09,28
2013-10,20
2013-11,20
2013-12,20
2014-01,24
2014-02,25
2014-03,30
2014-04,36
2014-05,42
2014-06,58
2014-07,71
2014-08,75
2014-09,30
2014-10,22
2014-11,19
2014-12,21
2015-01,26
2015-02,27
2015-03,31
2015-04,39
2015-05,45
2015-06,64
2015-07,78
2015-08,81
2015-09,32
2015-10,22
2015-11,20
2015-12,23
2016-01,28
2016-02,32
2016-03,37
2016-04,45
2016-05,49
2016-06,66
2016-07,87
2016-08,85
2016-09,36
2016-10,25
2016-11,23
2016-12,25
2017-01,29
2017-02,33
2017-03,39
2017-04,47
2017-05,53
2017-06,80
2017-07,93
2017-08,96
2017-09,38
2017-10,26
2017-11,23
2017-12,26
2018-01,34
2018-02,34
2018-03,38
2018-04,51
2018-05,52
2018-06,77
2018-07,94
2018-08,95
2018-09,42
2018-10,27
2018-11,25
2018-12,28
2019-01,32
2019-02,36
2019-03,41
2019-04,45
2019-05,47
2019-06,81
2019-07,93
2019-08,100
2019-09,49
