ds,y
2004-01,100
2004-02,33
2004-03,10
2004-04,14
2004-05,20
2004-06,17
2004-07,4
2004-08,4
2004-09,5
2004-10,7
2004-11,12
2004-12,9
2005-01,88
2005-02,35
2005-03,7
2005-04,11
2005-05,14
2005-06,15
2005-07,4
2005-08,4
2005-09,5
2005-10,5
2005-11,10
2005-12,11
2006-01,64
2006-02,26
2006-03,9
2006-04,8
2006-05,12
2006-06,13
2006-07,4
2006-08,4
2006-09,4
2006-10,6
2006-11,8
2006-12,10
2007-01,63
2007-02,19
2007-03,7
2007-04,9
2007-05,9
2007-06,9
2007-07,3
2007-08,3
2007-09,4
2007-10,6
2007-11,6
2007-12,5
2008-01,54
2008-02,17
2008-03,7
2008-04,6
2008-05,8
2008-06,8
2008-07,3
2008-08,3
2008-09,4
2008-10,5
2008-11,5
2008-12,5
2009-01,51
2009-02,18
2009-03,7
2009-04,6
2009-05,7
2009-06,7
2009-07,3
2009-08,3
2009-09,3
2009-10,5
2009-11,5
2009-12,5
2010-01,58
2010-02,16
2010-03,5
2010-04,5
2010-05,7
2010-06,7
2010-07,3
2010-08,2
2010-09,3
2010-10,4
2010-11,4
2010-12,4
2011-01,40
2011-02,15
2011-03,5
2011-04,4
2011-05,7
2011-06,6
2011-07,2
2011-08,2
2011-09,2
2011-10,3
2011-11,3
2011-12,3
2012-01,44
2012-02,13
2012-03,8
2012-04,5
2012-05,6
2012-06,7
2012-07,3
2012-08,2
2012-09,3
2012-10,3
2012-11,4
2012-12,3
2013-01,39
2013-02,11
2013-03,6
2013-04,5
2013-05,6
2013-06,6
2013-07,2
2013-08,2
2013-09,3
2013-10,5
2013-11,4
2013-12,4
2014-01,47
2014-02,12
2014-03,5
2014-04,7
2014-05,6
2014-06,6
2014-07,3
2014-08,2
2014-09,2
2014-10,3
2014-11,3
2014-12,3
2015-01,59
2015-02,13
2015-03,5
2015-04,6
2015-05,6
2015-06,6
2015-07,2
2015-08,2
2015-09,2
2015-10,3
2015-11,3
2015-12,3
2016-01,47
2016-02,11
2016-03,5
2016-04,5
2016-05,6
2016-06,6
2016-07,3
2016-08,2
2016-09,3
2016-10,3
2016-11,4
2016-12,4
2017-01,47
2017-02,11
2017-03,5
2017-04,5
2017-05,5
2017-06,5
2017-07,2
2017-08,2
2017-09,2
2017-10,4
2017-11,4
2017-12,4
2018-01,43
2018-02,11
2018-03,4
2018-04,4
2018-05,6
2018-06,6
2018-07,2
2018-08,2
2018-09,2
2018-10,5
2018-11,4
2018-12,3
2019-01,49
2019-02,12
2019-03,4
2019-04,4
2019-05,6
2019-06,6
2019-07,2
2019-08,2
2019-09,2
