ds,y
2004-01,18
2004-02,15
2004-03,15
2004-04,16
2004-05,16
2004-06,19
2004-07,22
2004-08,41
2004-09,16
2004-10,19
2004-11,20
2004-12,19
2005-01,17
2005-02,18
2005-03,21
2005-04,20
2005-05,18
2005-06,21
2005-07,25
2005-08,43
2005-09,20
2005-10,17
2005-11,16
2005-12,18
2006-01,18
2006-02,16
2006-03,19
2006-04,19
2006-05,20
2006-06,20
2006-07,23
2006-08,43
2006-09,20
2006-10,21
2006-11,19
2006-12,19
2007-01,18
2007-02,19
2007-03,20
2007-04,20
2007-05,23
2007-06,23
2007-07,28
2007-08,43
2007-09,20
2007-10,20
2007-11,21
2007-12,18
2008-01,17
2008-02,20
2008-03,21
2008-04,20
2008-05,22
2008-06,21
2008-07,25
2008-08,41
2008-09,19
2008-10,19
2008-11,19
2008-12,19
2009-01,18
2009-02,20
2009-03,21
2009-04,21
2009-05,20
2009-06,21
2009-07,22
2009-08,50
2009-09,20
2009-10,19
2009-11,18
2009-12,19
2010-01,17
2010-02,19
2010-03,21
2010-04,20
2010-05,21
2010-06,22
2010-07,26
2010-08,55
2010-09,21
2010-10,23
2010-11,21
2010-12,21
2011-01,20
2011-02,21
2011-03,20
2011-04,22
2011-05,22
2011-06,25
2011-07,30
2011-08,61
2011-09,24
2011-10,23
2011-11,21
2011-12,21
2012-01,21
2012-02,21
2012-03,24
2012-04,23
2012-05,24
2012-06,27
2012-07,32
2012-08,61
2012-09,25
2012-10,22
2012-11,21
2012-12,21
2013-01,20
2013-02,21
2013-03,26
2013-04,24
2013-05,25
2013-06,27
2013-07,31
2013-08,64
2013-09,27
2013-10,24
2013-11,23
2013-12,24
2014-01,23
2014-02,24
2014-03,25
2014-04,29
2014-05,28
2014-06,28
2014-07,34
2014-08,71
2014-09,28
2014-10,27
2014-11,30
2014-12,30
2015-01,25
2015-02,27
2015-03,27
2015-04,30
2015-05,30
2015-06,33
2015-07,38
2015-08,78
2015-09,31
2015-10,28
2015-11,27
2015-12,27
2016-01,28
2016-02,31
2016-03,31
2016-04,33
2016-05,33
2016-06,35
2016-07,44
2016-08,86
2016-09,37
2016-10,33
2016-11,31
2016-12,29
2017-01,29
2017-02,30
2017-03,32
2017-04,35
2017-05,34
2017-06,38
2017-07,46
2017-08,93
2017-09,36
2017-10,32
2017-11,30
2017-12,32
2018-01,30
2018-02,33
2018-03,32
2018-04,37
2018-05,34
2018-06,38
2018-07,48
2018-08,100
2018-09,36
2018-10,41
2018-11,33
2018-12,33
2019-01,31
2019-02,31
2019-03,35
2019-04,36
2019-05,36
2019-06,41
2019-07,50
2019-08,100
2019-09,38
