ds,y
2004-01,2
2004-02,3
2004-03,5
2004-04,5
2004-05,16
2004-06,88
2004-07,3
2004-08,1
2004-09,2
2004-10,4
2004-11,10
2004-12,2
2005-01,3
2005-02,6
2005-03,14
2005-04,19
2005-05,10
2005-06,2
2005-07,1
2005-08,1
2005-09,2
2005-10,4
2005-11,4
2005-12,2
2006-01,4
2006-02,6
2006-03,14
2006-04,100
2006-05,30
2006-06,8
2006-07,1
2006-08,1
2006-09,1
2006-10,2
2006-11,4
2006-12,2
2007-01,1
2007-02,2
2007-03,2
2007-04,4
2007-05,30
2007-06,4
2007-07,1
2007-08,1
2007-09,1
2007-10,3
2007-11,2
2007-12,1
2008-01,2
2008-02,6
2008-03,11
2008-04,67
2008-05,3
2008-06,7
2008-07,1
2008-08,1
2008-09,1
2008-10,2
2008-11,7
2008-12,3
2009-01,2
2009-02,7
2009-03,3
2009-04,5
2009-05,14
2009-06,65
2009-07,1
2009-08,1
2009-09,1
2009-10,2
2009-11,1
2009-12,1
2010-01,3
2010-02,5
2010-03,38
2010-04,5
2010-05,5
2010-06,3
2010-07,1
2010-08,1
2010-09,1
2010-10,1
2010-11,1
2010-12,1
2011-01,1
2011-02,1
2011-03,2
2011-04,5
2011-05,36
2011-06,3
2011-07,1
2011-08,1
2011-09,1
2011-10,2
2011-11,1
2011-12,1
2012-01,1
2012-02,2
2012-03,3
2012-04,5
2012-05,23
2012-06,2
2012-07,1
2012-08,1
2012-09,2
2012-10,10
2012-11,6
2012-12,2
2013-01,7
2013-02,82
2013-03,5
2013-04,9
2013-05,13
2013-06,8
2013-07,1
2013-08,1
2013-09,1
2013-10,2
2013-11,2
2013-12,1
2014-01,2
2014-02,5
2014-03,3
2014-04,6
2014-05,51
2014-06,4
2014-07,1
2014-08,1
2014-09,1
2014-10,3
2014-11,5
2014-12,1
2015-01,3
2015-02,2
2015-03,3
2015-04,3
2015-05,12
2015-06,21
2015-07,1
2015-08,1
2015-09,1
2015-10,1
2015-11,1
2015-12,1
2016-01,1
2016-02,2
2016-03,2
2016-04,4
2016-05,6
2016-06,34
2016-07,1
2016-08,1
2016-09,1
2016-10,2
2016-11,23
2016-12,4
2017-01,1
2017-02,1
2017-03,2
2017-04,5
2017-05,5
2017-06,27
2017-07,1
2017-08,1
2017-09,2
2017-10,3
2017-11,13
2017-12,2
2018-01,6
2018-02,14
2018-03,88
2018-04,9
2018-05,5
2018-06,17
2018-07,1
2018-08,1
2018-09,2
2018-10,5
2018-11,3
2018-12,1
2019-01,3
2019-02,16
2019-03,6
2019-04,8
2019-05,83
2019-06,7
2019-07,1
2019-08,3
2019-09,2
