ds,y
2004-01,29
2004-02,26
2004-03,23
2004-04,22
2004-05,29
2004-06,25
2004-07,27
2004-08,29
2004-09,29
2004-10,45
2004-11,91
2004-12,45
2005-01,34
2005-02,31
2005-03,29
2005-04,28
2005-05,26
2005-06,26
2005-07,28
2005-08,25
2005-09,22
2005-10,23
2005-11,24
2005-12,25
2006-01,22
2006-02,22
2006-03,22
2006-04,20
2006-05,31
2006-06,22
2006-07,23
2006-08,20
2006-09,20
2006-10,24
2006-11,27
2006-12,34
2007-01,24
2007-02,24
2007-03,23
2007-04,25
2007-05,33
2007-06,27
2007-07,28
2007-08,33
2007-09,100
2007-10,91
2007-11,46
2007-12,43
2008-01,35
2008-02,31
2008-03,31
2008-04,28
2008-05,25
2008-06,26
2008-07,27
2008-08,25
2008-09,24
2008-10,24
2008-11,22
2008-12,23
2009-01,23
2009-02,27
2009-03,31
2009-04,23
2009-05,21
2009-06,24
2009-07,23
2009-08,23
2009-09,37
2009-10,27
2009-11,20
2009-12,20
2010-01,18
2010-02,18
2010-03,17
2010-04,19
2010-05,25
2010-06,16
2010-07,18
2010-08,27
2010-09,59
2010-10,33
2010-11,22
2010-12,20
2011-01,20
2011-02,16
2011-03,16
2011-04,16
2011-05,15
2011-06,25
2011-07,20
2011-08,19
2011-09,16
2011-10,15
2011-11,18
2011-12,15
2012-01,14
2012-02,13
2012-03,14
2012-04,15
2012-05,14
2012-06,19
2012-07,17
2012-08,16
2012-09,17
2012-10,26
2012-11,65
2012-12,29
2013-01,18
2013-02,15
2013-03,12
2013-04,11
2013-05,12
2013-06,14
2013-07,12
2013-08,11
2013-09,10
2013-10,10
2013-11,10
2013-12,11
2014-01,10
2014-02,9
2014-03,9
2014-04,9
2014-05,10
2014-06,13
2014-07,12
2014-08,11
2014-09,11
2014-10,11
2014-11,23
2014-12,17
2015-01,12
2015-02,9
2015-03,12
2015-04,12
2015-05,11
2015-06,12
2015-07,12
2015-08,12
2015-09,13
2015-10,30
2015-11,24
2015-12,16
2016-01,13
2016-02,11
2016-03,10
2016-04,10
2016-05,10
2016-06,11
2016-07,9
2016-08,8
2016-09,9
2016-10,8
2016-11,8
2016-12,10
2017-01,9
2017-02,10
2017-03,8
2017-04,7
2017-05,7
2017-06,7
2017-07,7
2017-08,7
2017-09,7
2017-10,7
2017-11,7
2017-12,7
2018-01,7
2018-02,7
2018-03,7
2018-04,8
2018-05,7
2018-06,9
2018-07,7
2018-08,7
2018-09,7
2018-10,7
2018-11,7
2018-12,7
2019-01,7
2019-02,7
2019-03,8
2019-04,7
2019-05,7
2019-06,9
2019-07,7
2019-08,7
2019-09,6
