ds,y
2004-01,2
2004-02,3
2004-03,4
2004-04,2
2004-05,3
2004-06,3
2004-07,2
2004-08,3
2004-09,3
2004-10,3
2004-11,3
2004-12,3
2005-01,2
2005-02,5
2005-03,5
2005-04,100
2005-05,9
2005-06,9
2005-07,4
2005-08,5
2005-09,4
2005-10,4
2005-11,4
2005-12,4
2006-01,4
2006-02,4
2006-03,5
2006-04,4
2006-05,4
2006-06,3
2006-07,2
2006-08,3
2006-09,7
2006-10,6
2006-11,4
2006-12,4
2007-01,4
2007-02,3
2007-03,4
2007-04,5
2007-05,4
2007-06,3
2007-07,3
2007-08,3
2007-09,4
2007-10,4
2007-11,3
2007-12,3
2008-01,6
2008-02,3
2008-03,4
2008-04,4
2008-05,4
2008-06,3
2008-07,3
2008-08,3
2008-09,4
2008-10,4
2008-11,4
2008-12,4
2009-01,3
2009-02,3
2009-03,4
2009-04,4
2009-05,4
2009-06,3
2009-07,3
2009-08,3
2009-09,3
2009-10,3
2009-11,3
2009-12,5
2010-01,3
2010-02,3
2010-03,4
2010-04,4
2010-05,4
2010-06,3
2010-07,3
2010-08,3
2010-09,4
2010-10,4
2010-11,4
2010-12,3
2011-01,3
2011-02,3
2011-03,5
2011-04,6
2011-05,6
2011-06,4
2011-07,4
2011-08,4
2011-09,4
2011-10,4
2011-11,4
2011-12,3
2012-01,3
2012-02,4
2012-03,5
2012-04,4
2012-05,6
2012-06,6
2012-07,3
2012-08,4
2012-09,3
2012-10,4
2012-11,3
2012-12,7
2013-01,4
2013-02,27
2013-03,48
2013-04,11
2013-05,8
2013-06,7
2013-07,8
2013-08,7
2013-09,10
2013-10,8
2013-11,8
2013-12,9
2014-01,8
2014-02,8
2014-03,11
2014-04,13
2014-05,8
2014-06,8
2014-07,7
2014-08,7
2014-09,7
2014-10,7
2014-11,7
2014-12,8
2015-01,8
2015-02,7
2015-03,13
2015-04,8
2015-05,6
2015-06,9
2015-07,6
2015-08,6
2015-09,8
2015-10,8
2015-11,10
2015-12,9
2016-01,8
2016-02,8
2016-03,10
2016-04,7
2016-05,7
2016-06,6
2016-07,6
2016-08,6
2016-09,6
2016-10,8
2016-11,7
2016-12,9
2017-01,7
2017-02,7
2017-03,14
2017-04,8
2017-05,9
2017-06,6
2017-07,5
2017-08,6
2017-09,8
2017-10,7
2017-11,6
2017-12,7
2018-01,7
2018-02,7
2018-03,10
2018-04,7
2018-05,7
2018-06,6
2018-07,5
2018-08,7
2018-09,7
2018-10,6
2018-11,6
2018-12,7
2019-01,7
2019-02,7
2019-03,10
2019-04,7
2019-05,6
2019-06,7
2019-07,5
2019-08,5
2019-09,6
