ds,y
2004-01,17
2004-02,20
2004-03,22
2004-04,17
2004-05,17
2004-06,17
2004-07,18
2004-08,13
2004-09,16
2004-10,16
2004-11,16
2004-12,16
2005-01,15
2005-02,14
2005-03,13
2005-04,14
2005-05,15
2005-06,13
2005-07,12
2005-08,11
2005-09,13
2005-10,13
2005-11,14
2005-12,12
2006-01,12
2006-02,13
2006-03,12
2006-04,12
2006-05,11
2006-06,9
2006-07,8
2006-08,10
2006-09,11
2006-10,11
2006-11,11
2006-12,10
2007-01,10
2007-02,10
2007-03,10
2007-04,10
2007-05,10
2007-06,10
2007-07,10
2007-08,10
2007-09,9
2007-10,11
2007-11,9
2007-12,9
2008-01,9
2008-02,9
2008-03,9
2008-04,10
2008-05,9
2008-06,8
2008-07,8
2008-08,8
2008-09,9
2008-10,9
2008-11,9
2008-12,9
2009-01,8
2009-02,9
2009-03,9
2009-04,9
2009-05,9
2009-06,8
2009-07,7
2009-08,8
2009-09,9
2009-10,10
2009-11,10
2009-12,9
2010-01,8
2010-02,9
2010-03,9
2010-04,9
2010-05,9
2010-06,8
2010-07,8
2010-08,8
2010-09,8
2010-10,9
2010-11,10
2010-12,8
2011-01,9
2011-02,10
2011-03,9
2011-04,9
2011-05,9
2011-06,8
2011-07,8
2011-08,8
2011-09,11
2011-10,13
2011-11,13
2011-12,11
2012-01,10
2012-02,11
2012-03,12
2012-04,11
2012-05,12
2012-06,11
2012-07,10
2012-08,11
2012-09,13
2012-10,13
2012-11,12
2012-12,11
2013-01,12
2013-02,12
2013-03,13
2013-04,13
2013-05,13
2013-06,12
2013-07,12
2013-08,12
2013-09,14
2013-10,16
2013-11,15
2013-12,14
2014-01,15
2014-02,16
2014-03,17
2014-04,18
2014-05,17
2014-06,16
2014-07,16
2014-08,16
2014-09,19
2014-10,19
2014-11,20
2014-12,19
2015-01,21
2015-02,22
2015-03,23
2015-04,26
2015-05,23
2015-06,24
2015-07,24
2015-08,24
2015-09,27
2015-10,28
2015-11,31
2015-12,29
2016-01,29
2016-02,32
2016-03,35
2016-04,35
2016-05,35
2016-06,37
2016-07,33
2016-08,35
2016-09,41
2016-10,44
2016-11,49
2016-12,47
2017-01,53
2017-02,57
2017-03,62
2017-04,61
2017-05,66
2017-06,67
2017-07,65
2017-08,66
2017-09,73
2017-10,79
2017-11,81
2017-12,75
2018-01,79
2018-02,82
2018-03,86
2018-04,84
2018-05,86
2018-06,84
2018-07,82
2018-08,84
2018-09,90
2018-10,94
2018-11,89
2018-12,83
2019-01,88
2019-02,95
2019-03,94
2019-04,93
2019-05,94
2019-06,96
2019-07,96
2019-08,94
2019-09,100
