ds,y
2004-01,93
2004-02,100
2004-03,89
2004-04,86
2004-05,100
2004-06,85
2004-07,83
2004-08,84
2004-09,88
2004-10,85
2004-11,81
2004-12,79
2005-01,87
2005-02,88
2005-03,82
2005-04,79
2005-05,78
2005-06,76
2005-07,77
2005-08,84
2005-09,79
2005-10,79
2005-11,77
2005-12,77
2006-01,80
2006-02,75
2006-03,74
2006-04,67
2006-05,67
2006-06,68
2006-07,64
2006-08,67
2006-09,68
2006-10,68
2006-11,73
2006-12,68
2007-01,72
2007-02,73
2007-03,68
2007-04,63
2007-05,62
2007-06,60
2007-07,58
2007-08,59
2007-09,63
2007-10,63
2007-11,60
2007-12,60
2008-01,62
2008-02,62
2008-03,60
2008-04,59
2008-05,57
2008-06,53
2008-07,53
2008-08,53
2008-09,58
2008-10,57
2008-11,55
2008-12,56
2009-01,59
2009-02,58
2009-03,58
2009-04,55
2009-05,52
2009-06,53
2009-07,50
2009-08,52
2009-09,55
2009-10,61
2009-11,60
2009-12,54
2010-01,57
2010-02,58
2010-03,55
2010-04,54
2010-05,51
2010-06,51
2010-07,45
2010-08,48
2010-09,51
2010-10,52
2010-11,50
2010-12,46
2011-01,49
2011-02,48
2011-03,46
2011-04,45
2011-05,43
2011-06,41
2011-07,38
2011-08,41
2011-09,42
2011-10,42
2011-11,40
2011-12,37
2012-01,39
2012-02,39
2012-03,38
2012-04,36
2012-05,36
2012-06,38
2012-07,34
2012-08,37
2012-09,39
2012-10,42
2012-11,42
2012-12,36
2013-01,39
2013-02,39
2013-03,37
2013-04,35
2013-05,34
2013-06,33
2013-07,32
2013-08,33
2013-09,38
2013-10,38
2013-11,37
2013-12,35
2014-01,34
2014-02,35
2014-03,34
2014-04,34
2014-05,32
2014-06,31
2014-07,30
2014-08,31
2014-09,35
2014-10,34
2014-11,34
2014-12,32
2015-01,33
2015-02,33
2015-03,33
2015-04,32
2015-05,31
2015-06,32
2015-07,31
2015-08,35
2015-09,35
2015-10,35
2015-11,33
2015-12,32
2016-01,27
2016-02,27
2016-03,27
2016-04,25
2016-05,24
2016-06,25
2016-07,23
2016-08,24
2016-09,26
2016-10,26
2016-11,26
2016-12,24
2017-01,24
2017-02,24
2017-03,25
2017-04,22
2017-05,23
2017-06,21
2017-07,21
2017-08,22
2017-09,23
2017-10,23
2017-11,25
2017-12,22
2018-01,23
2018-02,23
2018-03,22
2018-04,22
2018-05,21
2018-06,21
2018-07,20
2018-08,21
2018-09,22
2018-10,23
2018-11,22
2018-12,19
2019-01,21
2019-02,21
2019-03,20
2019-04,19
2019-05,19
2019-06,20
2019-07,19
2019-08,21
2019-09,22
