ds,y
2004-01,73
2004-02,66
2004-03,64
2004-04,64
2004-05,66
2004-06,72
2004-07,73
2004-08,73
2004-09,73
2004-10,71
2004-11,75
2004-12,83
2005-01,75
2005-02,73
2005-03,68
2005-04,70
2005-05,70
2005-06,73
2005-07,76
2005-08,76
2005-09,73
2005-10,71
2005-11,75
2005-12,85
2006-01,76
2006-02,73
2006-03,71
2006-04,70
2006-05,73
2006-06,77
2006-07,77
2006-08,80
2006-09,77
2006-10,76
2006-11,80
2006-12,89
2007-01,82
2007-02,79
2007-03,77
2007-04,78
2007-05,81
2007-06,87
2007-07,90
2007-08,94
2007-09,89
2007-10,87
2007-11,92
2007-12,100
2008-01,87
2008-02,83
2008-03,81
2008-04,76
2008-05,75
2008-06,75
2008-07,81
2008-08,82
2008-09,81
2008-10,81
2008-11,78
2008-12,88
2009-01,79
2009-02,79
2009-03,77
2009-04,73
2009-05,75
2009-06,81
2009-07,87
2009-08,87
2009-09,85
2009-10,81
2009-11,85
2009-12,94
2010-01,86
2010-02,84
2010-03,79
2010-04,79
2010-05,81
2010-06,83
2010-07,90
2010-08,94
2010-09,93
2010-10,93
2010-11,90
2010-12,96
2011-01,89
2011-02,87
2011-03,80
2011-04,82
2011-05,77
2011-06,81
2011-07,85
2011-08,86
2011-09,83
2011-10,84
2011-11,81
2011-12,84
2012-01,78
2012-02,77
2012-03,73
2012-04,66
2012-05,63
2012-06,66
2012-07,67
2012-08,69
2012-09,70
2012-10,62
2012-11,62
2012-12,66
2013-01,62
2013-02,61
2013-03,60
2013-04,57
2013-05,57
2013-06,59
2013-07,64
2013-08,62
2013-09,60
2013-10,58
2013-11,56
2013-12,60
2014-01,55
2014-02,54
2014-03,53
2014-04,51
2014-05,51
2014-06,54
2014-07,52
2014-08,52
2014-09,46
2014-10,44
2014-11,42
2014-12,41
2015-01,38
2015-02,34
2015-03,33
2015-04,32
2015-05,29
2015-06,29
2015-07,28
2015-08,26
2015-09,24
2015-10,22
2015-11,21
2015-12,20
2016-01,20
2016-02,19
2016-03,17
2016-04,16
2016-05,16
2016-06,16
2016-07,17
2016-08,16
2016-09,14
2016-10,14
2016-11,13
2016-12,15
2017-01,16
2017-02,20
2017-03,16
2017-04,12
2017-05,13
2017-06,16
2017-07,17
2017-08,16
2017-09,16
2017-10,15
2017-11,14
2017-12,14
2018-01,12
2018-02,12
2018-03,12
2018-04,13
2018-05,13
2018-06,12
2018-07,12
2018-08,13
2018-09,12
2018-10,12
2018-11,11
2018-12,11
2019-01,10
2019-02,10
2019-03,10
2019-04,9
2019-05,9
2019-06,9
2019-07,9
2019-08,9
2019-09,12
