ds,y
2004-01,90
2004-02,92
2004-03,94
2004-04,99
2004-05,94
2004-06,99
2004-07,99
2004-08,95
2004-09,90
2004-10,91
2004-11,95
2004-12,92
2005-01,93
2005-02,92
2005-03,95
2005-04,92
2005-05,94
2005-06,94
2005-07,92
2005-08,89
2005-09,83
2005-10,86
2005-11,82
2005-12,80
2006-01,83
2006-02,82
2006-03,86
2006-04,84
2006-05,83
2006-06,85
2006-07,83
2006-08,82
2006-09,76
2006-10,80
2006-11,75
2006-12,71
2007-01,75
2007-02,77
2007-03,78
2007-04,79
2007-05,78
2007-06,82
2007-07,82
2007-08,83
2007-09,77
2007-10,79
2007-11,78
2007-12,69
2008-01,74
2008-02,76
2008-03,79
2008-04,95
2008-05,82
2008-06,80
2008-07,80
2008-08,75
2008-09,74
2008-10,73
2008-11,71
2008-12,65
2009-01,72
2009-02,77
2009-03,77
2009-04,81
2009-05,79
2009-06,83
2009-07,79
2009-08,78
2009-09,74
2009-10,75
2009-11,73
2009-12,71
2010-01,89
2010-02,82
2010-03,87
2010-04,93
2010-05,88
2010-06,82
2010-07,76
2010-08,72
2010-09,67
2010-10,66
2010-11,69
2010-12,65
2011-01,81
2011-02,79
2011-03,77
2011-04,78
2011-05,79
2011-06,78
2011-07,76
2011-08,79
2011-09,75
2011-10,73
2011-11,70
2011-12,69
2012-01,76
2012-02,75
2012-03,79
2012-04,78
2012-05,81
2012-06,78
2012-07,77
2012-08,77
2012-09,75
2012-10,72
2012-11,68
2012-12,68
2013-01,76
2013-02,74
2013-03,75
2013-04,79
2013-05,79
2013-06,79
2013-07,77
2013-08,76
2013-09,75
2013-10,75
2013-11,76
2013-12,72
2014-01,76
2014-02,75
2014-03,81
2014-04,81
2014-05,84
2014-06,82
2014-07,84
2014-08,80
2014-09,74
2014-10,76
2014-11,71
2014-12,68
2015-01,74
2015-02,72
2015-03,75
2015-04,81
2015-05,82
2015-06,79
2015-07,81
2015-08,83
2015-09,79
2015-10,76
2015-11,75
2015-12,73
2016-01,80
2016-02,80
2016-03,85
2016-04,88
2016-05,87
2016-06,85
2016-07,83
2016-08,81
2016-09,78
2016-10,77
2016-11,80
2016-12,78
2017-01,81
2017-02,78
2017-03,84
2017-04,91
2017-05,87
2017-06,87
2017-07,89
2017-08,84
2017-09,79
2017-10,83
2017-11,83
2017-12,81
2018-01,81
2018-02,83
2018-03,89
2018-04,94
2018-05,93
2018-06,94
2018-07,99
2018-08,92
2018-09,83
2018-10,84
2018-11,84
2018-12,85
2019-01,89
2019-02,87
2019-03,92
2019-04,98
2019-05,100
2019-06,99
2019-07,95
2019-08,92
2019-09,87
